order_id,order_date,total_cost,employee_id
1,2025-02-18 08:20:48,6.75,2
2,2025-02-18 08:20:37,19.0,8
3,2025-02-18 08:39:56,15.5,4
4,2025-02-18 08:47:59,15.5,6
5,2025-02-18 08:31:59,8.0,11
6,2025-02-18 08:33:43,6.75,9
7,2025-02-18 08:42:09,6.75,6
8,2025-02-18 08:39:22,7.25,10
9,2025-02-18 08:07:40,8.0,1
10,2025-02-18 09:59:40,6.5,6
11,2025-02-18 09:47:13,24.5,12
12,2025-02-18 09:12:49,20.25,5
13,2025-02-18 09:26:47,17.25,10
14,2025-02-18 09:57:53,6.5,5
15,2025-02-18 09:47:28,8.75,3
16,2025-02-18 09:38:45,21.25,10
17,2025-02-18 09:30:31,14.25,6
18,2025-02-18 09:10:54,21.75,9
19,2025-02-18 10:30:02,15.0,10
20,2025-02-18 10:09:36,8.25,11
21,2025-02-18 10:49:01,6.5,5
22,2025-02-18 10:13:32,8.0,3
23,2025-02-18 10:23:29,6.5,4
24,2025-02-18 10:59:12,7.75,12
25,2025-02-18 10:44:21,7.5,10
26,2025-02-18 10:44:36,7.5,7
27,2025-02-18 10:59:56,8.5,10
28,2025-02-18 11:21:26,9.0,9
29,2025-02-18 11:39:25,6.5,12
30,2025-02-18 11:00:56,7.25,8
31,2025-02-18 11:46:09,13.75,10
32,2025-02-18 11:02:27,6.5,5
33,2025-02-18 11:34:00,9.25,1
34,2025-02-18 11:31:07,13.0,6
35,2025-02-18 11:19:06,6.5,1
36,2025-02-18 11:39:36,15.75,7
37,2025-02-18 11:55:09,6.25,10
38,2025-02-18 11:20:29,6.5,8
39,2025-02-18 11:08:54,9.0,7
40,2025-02-18 11:21:56,8.0,11
41,2025-02-18 11:22:02,16.0,6
42,2025-02-18 11:42:28,7.0,7
43,2025-02-18 11:37:18,6.5,9
44,2025-02-18 11:12:37,7.25,4
45,2025-02-18 11:47:57,13.0,2
46,2025-02-18 11:43:34,14.5,3
47,2025-02-18 11:01:42,6.5,5
48,2025-02-18 11:51:09,7.5,3
49,2025-02-18 11:27:36,6.75,2
50,2025-02-18 11:34:02,7.0,1
51,2025-02-18 11:16:48,7.25,1
52,2025-02-18 11:12:02,6.5,3
53,2025-02-18 11:07:51,15.0,2
54,2025-02-18 11:26:28,7.0,9
55,2025-02-18 11:57:07,7.25,8
56,2025-02-18 11:53:14,7.5,9
57,2025-02-18 12:41:49,6.5,6
58,2025-02-18 12:08:52,7.25,11
59,2025-02-18 12:26:30,8.25,4
60,2025-02-18 12:46:23,15.0,2
61,2025-02-18 12:18:55,9.0,12
62,2025-02-18 12:37:36,15.5,7
63,2025-02-18 12:45:38,6.75,10
64,2025-02-18 12:19:57,9.0,5
65,2025-02-18 12:31:58,8.25,10
66,2025-02-18 12:17:56,7.25,12
67,2025-02-18 12:23:57,15.0,4
68,2025-02-18 12:32:05,9.25,5
69,2025-02-18 12:06:34,14.75,11
70,2025-02-18 12:56:18,6.5,11
71,2025-02-18 12:38:07,7.0,11
72,2025-02-18 12:08:31,9.0,6
73,2025-02-18 12:14:45,7.5,11
74,2025-02-18 12:07:47,7.0,10
75,2025-02-18 12:04:55,7.75,4
76,2025-02-18 12:16:17,13.5,6
77,2025-02-18 12:22:31,7.0,6
78,2025-02-18 12:07:10,15.25,10
79,2025-02-18 12:31:50,6.75,10
80,2025-02-18 12:58:02,8.0,6
81,2025-02-18 12:52:23,6.5,9
82,2025-02-18 12:50:51,8.5,11
83,2025-02-18 12:45:23,15.75,10
84,2025-02-18 12:50:09,8.25,10
85,2025-02-18 12:58:09,16.75,7
86,2025-02-18 13:49:46,7.5,8
87,2025-02-18 13:25:00,14.5,8
88,2025-02-18 13:37:58,7.5,10
89,2025-02-18 13:35:37,14.25,4
90,2025-02-18 13:06:43,6.75,5
91,2025-02-18 13:55:40,7.0,7
92,2025-02-18 13:59:50,6.5,10
93,2025-02-18 13:26:35,8.0,2
94,2025-02-18 13:05:33,7.75,4
95,2025-02-18 13:21:18,5.25,3
96,2025-02-18 13:48:22,6.75,9
97,2025-02-18 13:54:02,14.5,3
98,2025-02-18 13:10:27,7.25,4
99,2025-02-18 13:30:36,14.0,7
100,2025-02-18 13:32:34,6.25,2
101,2025-02-18 13:04:24,7.25,6
102,2025-02-18 13:09:44,13.25,2
103,2025-02-18 13:08:44,16.25,5
104,2025-02-18 13:41:47,6.25,5
105,2025-02-18 13:22:55,6.5,1
106,2025-02-18 13:45:12,6.5,12
107,2025-02-18 13:21:53,6.5,8
108,2025-02-18 13:50:19,6.25,9
109,2025-02-18 13:54:24,13.75,3
110,2025-02-18 13:51:36,8.25,8
111,2025-02-18 13:35:22,8.5,6
112,2025-02-18 13:37:10,8.75,11
113,2025-02-18 13:11:59,6.5,3
114,2025-02-18 13:42:21,14.75,8
115,2025-02-18 14:35:08,9.25,11
116,2025-02-18 14:07:39,14.75,6
117,2025-02-18 14:54:44,8.25,7
118,2025-02-18 14:01:51,6.5,1
119,2025-02-18 14:52:40,13.75,3
120,2025-02-18 14:15:40,6.25,7
121,2025-02-18 14:22:55,16.0,4
122,2025-02-18 14:50:04,8.0,4
123,2025-02-18 14:30:57,8.25,7
124,2025-02-18 14:31:45,7.0,6
125,2025-02-18 14:09:09,7.75,5
126,2025-02-18 14:55:21,6.25,9
127,2025-02-18 14:11:57,6.75,4
128,2025-02-18 14:00:52,6.25,8
129,2025-02-18 14:45:04,15.0,6
130,2025-02-18 14:31:23,21.25,12
131,2025-02-18 14:33:37,7.75,8
132,2025-02-18 15:26:49,8.75,5
133,2025-02-18 15:24:42,8.25,6
134,2025-02-18 15:51:11,6.75,1
135,2025-02-18 15:43:26,14.5,8
136,2025-02-18 15:11:02,14.75,3
137,2025-02-18 15:00:27,7.0,9
138,2025-02-18 15:26:37,15.25,9
139,2025-02-18 15:38:28,8.0,3
140,2025-02-18 15:02:28,7.0,12
141,2025-02-18 15:26:15,7.5,9
142,2025-02-18 15:02:25,8.0,2
143,2025-02-18 15:39:58,6.75,5
144,2025-02-18 15:08:50,6.25,12
145,2025-02-18 15:30:49,15.5,4
146,2025-02-18 15:48:18,24.0,10
147,2025-02-18 15:00:20,15.0,4
148,2025-02-18 15:31:13,6.5,1
149,2025-02-18 16:34:14,14.5,12
150,2025-02-18 16:33:56,6.75,1
151,2025-02-18 16:16:35,15.25,3
152,2025-02-18 16:36:36,15.5,10
153,2025-02-18 16:54:55,7.25,9
154,2025-02-18 16:42:23,6.5,7
155,2025-02-18 16:17:55,6.75,7
156,2025-02-18 16:58:47,16.25,8
157,2025-02-18 16:15:12,6.0,7
158,2025-02-18 16:27:03,8.75,12
159,2025-02-18 16:25:37,15.75,9
160,2025-02-18 16:51:09,7.0,11
161,2025-02-18 16:10:21,7.0,11
162,2025-02-18 16:03:53,8.5,11
163,2025-02-18 16:01:50,7.25,5
164,2025-02-18 16:50:02,7.75,10
165,2025-02-18 16:20:57,9.75,7
166,2025-02-18 17:45:17,7.25,2
167,2025-02-18 17:47:55,7.75,3
168,2025-02-18 17:40:55,7.5,1
169,2025-02-18 17:53:57,9.0,10
170,2025-02-18 17:30:08,13.75,7
171,2025-02-18 17:26:57,7.0,4
172,2025-02-18 17:59:10,14.75,12
173,2025-02-18 17:46:46,9.0,4
174,2025-02-18 17:13:05,6.5,7
175,2025-02-18 17:06:20,8.25,5
176,2025-02-18 17:52:59,16.0,5
177,2025-02-18 17:45:57,9.25,10
178,2025-02-18 17:37:39,17.75,5
179,2025-02-18 17:59:17,7.5,12
180,2025-02-18 17:01:38,6.5,2
181,2025-02-18 17:12:08,8.0,3
182,2025-02-18 17:53:07,8.25,11
183,2025-02-18 17:02:23,6.75,11
184,2025-02-18 17:46:13,14.25,12
185,2025-02-18 17:54:50,7.75,8
186,2025-02-18 17:10:26,15.0,5
187,2025-02-18 17:03:42,8.0,8
188,2025-02-18 17:11:48,7.5,11
189,2025-02-18 17:11:12,6.5,8
190,2025-02-18 18:31:42,6.75,10
191,2025-02-18 18:59:19,6.25,3
192,2025-02-18 18:25:28,7.0,8
193,2025-02-18 18:21:44,6.25,7
194,2025-02-18 18:48:16,14.25,6
195,2025-02-18 18:23:41,7.5,5
196,2025-02-18 18:23:34,8.0,1
197,2025-02-18 18:00:08,13.0,12
198,2025-02-18 18:09:17,15.25,3
199,2025-02-18 18:57:16,6.5,12
200,2025-02-18 18:45:37,15.25,8
201,2025-02-18 18:11:24,14.0,9
202,2025-02-18 18:52:52,15.0,9
203,2025-02-18 18:33:12,22.0,9
204,2025-02-18 18:15:40,8.25,3
205,2025-02-18 18:45:24,6.25,11
206,2025-02-18 18:46:51,6.5,11
207,2025-02-18 18:16:54,7.25,11
208,2025-02-18 18:29:18,21.75,7
209,2025-02-18 18:20:15,6.75,8
210,2025-02-18 18:57:20,7.0,10
211,2025-02-18 18:58:28,7.0,9
212,2025-02-18 18:19:58,7.5,11
213,2025-02-18 18:15:22,7.75,12
214,2025-02-18 19:55:45,13.75,11
215,2025-02-18 19:12:34,14.5,4
216,2025-02-18 19:18:11,9.25,8
217,2025-02-18 19:53:04,14.0,7
218,2025-02-18 19:44:09,8.5,7
219,2025-02-18 19:25:21,8.0,11
220,2025-02-18 19:11:35,8.25,6
221,2025-02-18 19:16:55,7.25,12
222,2025-02-18 19:40:10,7.25,5
223,2025-02-18 19:35:17,5.75,9
224,2025-02-18 19:15:24,7.75,4
225,2025-02-18 19:44:23,8.0,3
226,2025-02-18 19:54:48,6.5,7
